pmid,verdict,reason,decided_by,decided_at
26339930,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26347362,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26476097,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26590277,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26616567,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26750429,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26813295,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26841043,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26851283,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26873847,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26882266,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26893434,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26894531,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26906932,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26921273,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26941153,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26955368,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
26973628,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27005577,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27013045,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27014207,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27021321,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27052734,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
